Original ASF,Rounding ASF,Sort Code Name_encoded,Destination Station_encoded,Next Station_encoded
55900,55900,182,67,16
48800,48800,163,35,35
28400,28400,44,121,35
14700,14700,190,98,29
20300,20300,53,106,7
18300,18300,57,24,10
18300,18300,261,145,7
18300,18300,118,54,7
34600,34600,262,99,16
18300,18300,76,157,42
14200,14200,166,62,37
21300,21300,51,16,5
11000,11000,152,76,35
19000,19000,43,156,8
19800,19800,195,44,35
11200,11200,211,85,35
10100,10100,240,20,37
9100,9100,40,103,37
11500,11500,281,96,24
16200,16200,256,42,29
23400,23400,97,42,13
21300,21300,218,157,42
15200,15200,240,20,37
21300,21300,292,155,29
21300,21300,110,30,9
10100,10100,120,9,13
11200,11200,274,130,35
9100,9100,5,5,37
14700,14700,228,118,30
18300,18300,278,112,29
14700,14700,275,153,39
15700,15700,116,138,35
22300,22300,23,79,22
29400,29400,190,98,25
22300,22300,300,61,26
21300,21300,62,38,9
18300,18300,246,133,10
9100,9100,61,98,25
10100,10100,142,149,36
16200,16200,146,73,7
19800,19800,63,44,35
20300,20300,7,7,1
14700,14700,72,120,32
17200,17200,269,107,26
34400,34400,101,79,22
14700,14700,71,118,30
14200,14200,275,153,39
17200,17200,214,109,5
14700,14700,275,153,39
22400,22400,273,152,38
21300,21300,86,38,9
21300,21300,224,38,9
23400,23400,130,64,20
23400,23400,299,52,17
14700,14700,87,39,29
11500,11500,102,45,14
21300,21300,156,98,25
14700,14700,14,10,3
21300,21300,276,112,28
30400,30400,176,111,27
15200,15200,134,111,27
16200,16200,298,157,42
22300,22300,7,7,1
14700,14700,14,10,3
22300,22300,301,79,22
15200,15200,27,16,5
19800,19800,63,44,35
22300,22300,180,79,22
20300,20300,254,112,29
17300,17300,231,120,32
15200,15200,103,33,16
16200,16200,97,42,29
20300,20300,70,30,9
23400,23400,11,16,5
17300,17300,228,118,30
14700,14700,87,39,12
21300,21300,157,70,21
22300,22300,300,61,26
14700,14700,230,119,31
18300,18300,32,19,6
8500,8500,107,64,20
21300,21300,224,38,9
16200,16200,228,118,30
18300,18300,57,24,10
14000,14000,223,117,27
22300,22300,158,79,29
14700,14700,36,48,29
18300,18300,236,112,28
32500,32500,202,102,16
34600,34600,286,124,35
22300,22300,89,149,36
14700,14700,159,80,29
14700,14700,71,118,30
16200,16200,207,61,29
22300,22300,297,70,21
14700,14700,228,118,30
11700,11700,263,146,7
17200,17200,244,133,10
26400,26400,186,83,16
11600,11600,30,18,10
26400,26400,171,60,16
14700,14700,228,118,30
25400,25400,48,87,7
14700,14700,228,118,30
14700,14700,232,119,31
23400,23400,9,9,13
21300,21300,198,136,34
14700,14700,229,120,32
21300,21300,292,155,41
17300,17300,71,118,30
17300,17300,228,118,30
14700,14700,230,119,31
12000,12000,192,107,29
22300,22300,149,64,20
14700,14700,87,39,12
22300,22300,189,70,21
22400,22400,273,152,38
14700,14700,229,120,32
22300,22300,142,149,36
14700,14700,275,153,39
23400,23400,155,42,29
17300,17300,231,120,32
22300,22300,157,70,21
22300,22300,272,37,26
14700,14700,87,39,12
21500,21500,21,2,0
22300,22300,210,107,26
14700,14700,231,120,32
21500,21500,93,2,0
23400,23400,155,42,13
22300,22300,185,96,24
10100,10100,272,37,11
9100,9100,296,30,9
46800,46800,281,96,24
14700,14700,14,10,3
22300,22300,83,107,29
22400,22400,86,38,9
14700,14700,87,39,12
22300,22300,248,52,17
22300,22300,37,107,26
22400,22400,153,30,9
21300,21300,24,155,41
22300,22300,157,70,21
66900,66900,216,111,27
17300,17300,275,153,39
17300,17300,190,98,25
21500,21500,276,112,28
22300,22300,174,42,13
14700,14700,87,39,12
51600,51600,105,70,21
16200,16200,78,112,28
14700,14700,275,153,39
44600,44600,282,107,29
14700,14700,87,39,12
14700,14700,275,153,39
26400,26400,284,79,22
14700,14700,87,39,12
14700,14700,159,80,29
21300,21300,122,55,18
22400,22400,269,107,26
22400,22400,98,16,5
18300,18300,183,136,34
18300,18300,136,19,6
22300,22300,161,61,26
22300,22300,9,9,13
17300,17300,285,80,23
18300,18300,136,19,6
14700,14700,87,39,29
18300,18300,249,136,34
14700,14700,153,80,29
14700,14700,159,80,23
18300,18300,236,112,28
22400,22400,273,152,38
14700,14700,231,120,32
21300,21300,153,30,29
21300,21300,111,30,9
22300,22300,85,111,29
14700,14700,190,98,25
14700,14700,87,39,12
18300,18300,50,55,29
22300,22300,64,9,13
24000,24000,258,143,35
8500,8500,104,103,37
9000,9000,249,136,34
8000,8000,69,52,17
14700,14700,47,10,29
14700,14700,285,80,23
14200,14200,106,111,27
23400,23400,256,42,13
21300,21300,156,98,25
20300,20300,184,55,29
44600,44600,60,64,29
17200,17200,176,111,27
40600,40600,16,125,16
39600,39600,237,126,16
11600,11600,29,18,10
22300,22300,134,111,27
14700,14700,131,61,19
18300,18300,76,157,42
18300,18300,236,112,28
16200,16200,254,112,28
32400,32400,78,112,29
16200,16200,24,155,29
18300,18300,1,2,29
16200,16200,42,152,38
21300,21300,156,98,25
162000,162000,254,112,28
14700,14700,275,153,39
22300,22300,134,111,27
22400,22400,216,111,27
22400,22400,61,30,9
34600,34600,231,120,29
16200,16200,232,119,29
17300,17300,231,120,29
18300,18300,109,55,18
16200,16200,265,37,26
22300,22300,75,96,29
34600,34600,231,120,29
22300,22300,215,7,1
34600,34600,231,120,29
22400,22400,216,111,27
17300,17300,159,80,23
22300,22300,46,79,29
20300,20300,149,64,20
11600,11600,54,131,7
29400,29400,228,118,30
44600,44600,239,111,27
42600,42600,112,38,9
29400,29400,14,10,3
14700,14700,14,10,29
44600,44600,4,64,29
29400,29400,87,39,12
17200,17200,175,128,2
22300,22300,65,149,36
8100,8100,14,10,3
20300,20300,138,11,4
22400,22400,225,117,27
15700,15700,204,135,35
54800,54800,0,1,8
22300,22300,83,107,26
42600,42600,302,30,9
21300,21300,35,49,7
32500,32500,187,97,16
20300,20300,105,70,21
14700,14700,275,153,39
18300,18300,122,55,18
14700,14700,153,80,23
12000,12000,96,64,20
13000,13000,50,55,18
14500,14500,27,16,29
14000,14000,216,111,29
12000,12000,60,64,29
12000,12000,60,64,29
12500,12500,188,7,1
12000,12000,60,64,20
12500,12500,210,107,29
12000,12000,60,64,20
12500,12500,83,107,29
12000,12000,60,64,20
12000,12000,60,64,20
12500,12500,281,96,24
13000,13000,4,64,29
12000,12000,60,64,20
21300,21300,184,55,18
23000,23000,79,107,29
22400,22400,174,42,13
21300,21300,224,38,29
42600,42600,110,30,29
18300,18300,183,136,34
14700,14700,230,119,31
10100,10100,105,70,21
22300,22300,110,30,9
22300,22300,19,45,14
22300,22300,27,16,29
22300,22300,189,70,29
22300,22300,155,42,29
22400,22400,61,30,9
14700,14700,77,120,32
22300,22300,75,96,24
22300,22300,221,16,5
